year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2008,Subaru,Outback,3.0 R L.L.Bean Edition,Wagon,automatic,4s4bp86c784309971,nj,19.0,100853.0,gold,beige,black tie classics llc,10050.0,6950.0,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2008,Scion,tC,Base,Hatchback,automatic,jtkde167380259227,fl,34.0,65219.0,white,gray,mercedes benz of tampa,7050.0,8700.0,Thu Dec 18 2014 16:20:00 GMT-0800 (PST)
2008,Toyota,Camry Hybrid,Base,Sedan,,4t1bb46k38u049678,az,23.0,112206.0,white,gray,remarketing by ge/afs acceptance llc,7825.0,6700.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2008,Scion,xD,Base,Hatchback,automatic,jtkku10478j017348,fl,,38535.0,red,black,earl stewart toyota of north palm beach,6875.0,6600.0,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
2008,Scion,xB,Base,Wagon,automatic,jtlke50e781055798,fl,19.0,42385.0,silver,black,wells fargo dealer services,8500.0,6100.0,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
2008,Scion,xD,Base,Hatchback,automatic,jtkku10418j027499,fl,33.0,82210.0,black,black,santander consumer,5825.0,7500.0,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
2008,Toyota,Camry,LE,Sedan,automatic,4t1be46k88u253030,sc,19.0,140600.0,red,gray,south carolina state credit union,6025.0,5500.0,Thu Jan 15 2015 02:15:00 GMT-0800 (PST)
2008,Suzuki,XL7,Premium,SUV,automatic,2s3db217786101186,tx,,122287.0,black,gray,jerry's hyundai,3075.0,4000.0,Fri Dec 19 2014 14:00:00 GMT-0800 (PST)
2008,Subaru,Impreza,Outback Sport,Hatchback,manual,jf1gh63648g814591,in,38.0,97885.0,silver,gray,manheim ohio,7775.0,6800.0,Wed Jan 14 2015 05:30:00 GMT-0800 (PST)
2008,Saturn,VUE,XE,SUV,automatic,3gscl33p78s610372,il,,55802.0,turquoise,—,new rogers pontiac inc,6425.0,4200.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2008,Subaru,Tribeca,Limited 5-Passenger,SUV,automatic,4s4wx92d384413282,ut,,138062.0,gray,—,layton hills chrysler dodge jeep ram,7050.0,8000.0,Wed Dec 17 2014 11:30:00 GMT-0800 (PST)
2008,Subaru,Outback,2.5I,Wagon,automatic,4s4bp61c287300959,mn,,101807.0,gold,tan,total auto sales llc,7600.0,7200.0,Thu Dec 18 2014 10:45:00 GMT-0800 (PST)
2008,smart,fortwo,passion,Hatchback,,wmeej31x98k117271,il,,27714.0,blue,—,bettenhausen motor sales inc,5200.0,5150.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2008,Saturn,VUE,XE,SUV,automatic,3gscl33p88s723490,fl,,78585.0,red,beige,off lease only inc,5500.0,5000.0,Thu Dec 18 2014 10:35:00 GMT-0800 (PST)
2008,Scion,xB,Base,Wagon,automatic,jtlke50e981032488,fl,,116952.0,blue,—,kelley buick gmc inc,5300.0,6900.0,Wed Dec 17 2014 14:15:00 GMT-0800 (PST)
2008,Subaru,Tribeca,Limited 5-Passenger,SUV,automatic,4s4wx93d384404869,pa,,124713.0,gray,gray,west herr auto exchange inc,7850.0,6900.0,Wed Dec 17 2014 12:00:00 GMT-0800 (PST)
2008,Saturn,VUE,XR,SUV,automatic,3gsdl63758s703090,fl,35.0,106841.0,blue,tan,sam galloway ford lincoln,5375.0,6800.0,Thu Dec 18 2014 00:00:00 GMT-0800 (PST)
2008,suzuki,sx4,fwd,,automatic,js2yc412485102052,nc,,61472.0,black,tan,ams financial group/auto king inc/sensible car r,2550.0,1050.0,Tue Dec 23 2014 08:30:00 GMT-0800 (PST)
2008,Toyota,Camry Hybrid,Base,Sedan,automatic,4t1bb46k38u054461,az,,131651.0,white,gray,big two toyota scion of chandler,6925.0,6600.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2008,Saturn,VUE,XE,SUV,automatic,3gscl33p98s542589,ga,,112011.0,blue,gray,holcomb used cars inc,4725.0,5550.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2008,Scion,tC,Base,Hatchback,manual,jtkde167080256754,nc,39.0,95249.0,blue,black,johnson investments of nc inc,6100.0,6650.0,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
2008,Toyota,Camry,LE,Sedan,automatic,4t4be46k08r014111,wi,,130570.0,beige,tan,jack safro toyota,6650.0,6000.0,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
2008,Toyota,Camry,XLE,Sedan,automatic,4t1be46k28u782702,fl,,120500.0,black,beige,timmy auto repair shop & sales inc,6725.0,4300.0,Fri Dec 19 2014 09:30:00 GMT-0800 (PST)
2008,Toyota,Avalon,Limited,Sedan,automatic,4t1bk36b48u302923,nj,,83743.0,silver,—,eden vehicle marketing inc,10500.0,9000.0,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
2008,Toyota,Camry,LE V6,Sedan,automatic,4t1bk46k78u561055,az,,129887.0,blue,gray,yates buick gmc inc,6675.0,6800.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2008,Saturn,Outlook,XE,SUV,automatic,5gzer13708j213030,mi,29.0,96015.0,white,black,safco,7100.0,7500.0,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
2008,Toyota,Camry Hybrid,Base,Sedan,automatic,4t1bb46k88u057999,fl,,52065.0,gold,beige,sarasota ford,10300.0,12000.0,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
2008,Subaru,Outback,2.5I,Wagon,automatic,4s4bp61cx87303592,fl,,101653.0,gray,tan,greenwood chevrolet olds inc,7600.0,7200.0,Thu Dec 18 2014 00:00:00 GMT-0800 (PST)
